Start date,End date,Subject,Start Time,End Time,Location,Description
10/1/2018,10/1/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Sports and Exercise Sciences LT2 (G85),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
10/8/2018,10/8/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Sports and Exercise Sciences LT2 (G85),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
10/15/2018,10/15/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Sports and Exercise Sciences LT2 (G85),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
10/22/2018,10/22/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Sports and Exercise Sciences LT2 (G85),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
10/29/2018,10/29/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Sports and Exercise Sciences LT2 (G85),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
11/5/2018,11/5/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
11/12/2018,11/12/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
11/19/2018,11/19/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
11/26/2018,11/26/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
12/3/2018,12/3/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
12/10/2018,12/10/2018,LC Mathematical Foundations of Computer Science(30181)/Tutorial,10:00,11:00,Watson LT B (101),Activity: LC Mathematical Foundations of Computer Science(30181)/Tutorial. Type: Tutorial/B. Department: Computer Science
01/14/2019,01/14/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
01/21/2019,01/21/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
01/28/2019,01/28/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
02/4/2019,02/4/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
02/11/2019,02/11/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
02/18/2019,02/18/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
02/25/2019,02/25/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
03/4/2019,03/4/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
03/11/2019,03/11/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
03/18/2019,03/18/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
03/25/2019,03/25/2019,LC Artificial Intelligence(30173)/Lecture,10:00,11:00,Gisbert Kapp LT2 (E202),Activity: LC Artificial Intelligence(30173)/Lecture. Type: Lecture. Department: Computer Science
01/14/2019,01/14/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
01/21/2019,01/21/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
01/28/2019,01/28/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
02/4/2019,02/4/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
02/11/2019,02/11/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
02/18/2019,02/18/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
02/25/2019,02/25/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
03/4/2019,03/4/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
03/11/2019,03/11/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
03/18/2019,03/18/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
03/25/2019,03/25/2019,LC Data Structure & Algorithms(30175)/Lecture,11:00,12:00,Gisbert Kapp LT2 (E202),With: Dr John Bullinaria. Activity: LC Data Structure & Algorithms(30175)/Lecture. Type: Lecture/B. Department: Computer Science
01/14/2019,01/14/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
01/21/2019,01/21/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
01/28/2019,01/28/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
02/4/2019,02/4/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
02/11/2019,02/11/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
02/18/2019,02/18/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
02/25/2019,02/25/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
03/4/2019,03/4/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
03/11/2019,03/11/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
03/18/2019,03/18/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
03/25/2019,03/25/2019,LC Logic & Computation(30180)/Lecture,12:00,13:00,Gisbert Kapp LT2 (E202),Activity: LC Logic & Computation(30180)/Lecture. Type: Lecture. Department: Computer Science
01/14/2019,01/14/2019,LC Data Structure & Algorithms(30175)/Laboratory Practical,14:00,16:00,Computer Science LG04 Lab,With: Mr Alan Sexton. Activity: LC Data Structure & Algorithms(30175)/Laboratory Practical. Type: Laboratory Practical. Department: Computer Science
01/21/2019,01/21/2019,LC Data Structure & Algorithms(30175)/Laboratory Practical,14:00,16:00,Computer Science LG04 Lab,With: Mr Alan Sexton. Activity: LC Data Structure & Algorithms(30175)/Laboratory Practical. Type: Laboratory Practical. Department: Computer Science
01/28/2019,01/28/2019,LC Data Structure & Algorithms(30175)/Laboratory Practical,14:00,16:00,Computer Science LG04 Lab,With: Mr Alan Sexton. Activity: LC Data Structure & Algorithms(30175)/Laboratory Practical. Type: Laboratory Practical. Department: Computer Science
02/4/2019,02/4/2019,LC Data Structure & Algorithms(30175)/Laboratory Practical,14:00,16:00,Computer Science LG04 Lab,With: Mr Alan Sexton. Activity: LC Data Structure & Algorithms(30175)/Laboratory Practical. Type: Laboratory Practical. Department: Computer Science
02/11/2019,02/11/2019,LC Data Structure & Algorithms(30175)/Laboratory Practical,14:00,16:00,Computer Science LG04 Lab,With: Mr Alan Sexton. Activity: LC Data Structure & Algorithms(30175)/Laboratory Practical. Type: Laboratory Practical. Department: Computer Science
